layer_id,base_model,metric,accuracy
0,code,gsm8k,0.4836997725549659
0,code,humaneval,0.6524390243902439
1,code,gsm8k,0.4806671721000758
1,code,humaneval,0.6829268292682927
2,code,gsm8k,0.4685367702805155
2,code,humaneval,0.6341463414634146
3,code,gsm8k,0.4723275208491281
3,code,humaneval,0.6219512195121951
4,code,gsm8k,0.4783927217589083
4,code,humaneval,0.6646341463414634
5,code,gsm8k,0.470811220621683
5,code,humaneval,0.6402439024390244
6,code,gsm8k,0.4662623199393479
6,code,humaneval,0.6280487804878049
7,code,gsm8k,0.4647460197119029
7,code,humaneval,0.6402439024390244
8,code,gsm8k,0.4260803639120545
8,code,humaneval,0.6890243902439024
9,code,gsm8k,0.3866565579984837
9,code,humaneval,0.6646341463414634
10,code,gsm8k,0.4465504169825625
10,code,humaneval,0.6036585365853658
11,code,gsm8k,0.4116755117513268
11,code,humaneval,0.6341463414634146
12,code,gsm8k,0.3942380591357088
12,code,humaneval,0.6036585365853658
13,code,gsm8k,0.3699772554965883
13,code,humaneval,0.6219512195121951
14,code,gsm8k,0.3843821076573162
14,code,humaneval,0.6158536585365854
15,code,gsm8k,0.4329037149355572
15,code,humaneval,0.6341463414634146
16,code,gsm8k,0.4275966641394996
16,code,humaneval,0.6341463414634146
17,code,gsm8k,0.4548900682335102
17,code,humaneval,0.5792682926829268
18,code,gsm8k,0.4336618650492798
18,code,humaneval,0.6036585365853658
19,code,gsm8k,0.4594389689158453
19,code,humaneval,0.6158536585365854
20,code,gsm8k,0.4609552691432904
20,code,humaneval,0.6585365853658537
21,code,gsm8k,0.4655041698256255
21,code,humaneval,0.6219512195121951
22,code,gsm8k,0.4783927217589083
22,code,humaneval,0.6280487804878049
23,code,gsm8k,0.4412433661865049
23,code,humaneval,0.6524390243902439
24,code,gsm8k,0.4859742228961334
24,code,humaneval,0.6341463414634146
25,code,gsm8k,0.4723275208491281
25,code,humaneval,0.6158536585365854
26,code,gsm8k,0.4624715693707354
26,code,humaneval,0.6890243902439024
27,code,gsm8k,0.4761182714177407
27,code,humaneval,0.6707317073170732
28,code,gsm8k,0.4859742228961334
28,code,humaneval,0.6219512195121951
29,code,gsm8k,0.0
29,code,humaneval,0.0121951219512195
0,math,gsm8k,0.5299469294920395
0,math,humaneval,0.5
1,math,gsm8k,0.5238817285822593
1,math,humaneval,0.5182926829268293
2,math,gsm8k,0.5367702805155421
2,math,humaneval,0.5
3,math,gsm8k,0.5921152388172858
3,math,humaneval,0.5121951219512195
4,math,gsm8k,0.5435936315390447
4,math,humaneval,0.4939024390243902
5,math,gsm8k,0.4556482183472327
5,math,humaneval,0.524390243902439
6,math,gsm8k,0.4738438210765731
6,math,humaneval,0.524390243902439
7,math,gsm8k,0.5458680818802123
7,math,humaneval,0.4695121951219512
8,math,gsm8k,0.513267626990144
8,math,humaneval,0.4878048780487805
9,math,gsm8k,0.5420773313115997
9,math,humaneval,0.5060975609756098
10,math,gsm8k,0.4814253222137983
10,math,humaneval,0.5365853658536586
11,math,gsm8k,0.5549658832448825
11,math,humaneval,0.4939024390243902
12,math,gsm8k,0.5291887793783169
12,math,humaneval,0.4695121951219512
13,math,gsm8k,0.576194086429113
13,math,humaneval,0.4634146341463415
14,math,gsm8k,0.5678544351781653
14,math,humaneval,0.4939024390243902
15,math,gsm8k,0.5003790750568613
15,math,humaneval,0.5
16,math,gsm8k,0.5754359363153905
16,math,humaneval,0.4878048780487805
17,math,gsm8k,0.5595147839272175
17,math,humaneval,0.4695121951219512
18,math,gsm8k,0.488248673237301
18,math,humaneval,0.5060975609756098
19,math,gsm8k,0.5549658832448825
19,math,humaneval,0.4878048780487805
20,math,gsm8k,0.6125852918877938
20,math,humaneval,0.5060975609756098
21,math,gsm8k,0.5276724791508719
21,math,humaneval,0.4878048780487805
22,math,gsm8k,0.6019711902956786
22,math,humaneval,0.4939024390243902
23,math,gsm8k,0.5943896891584534
23,math,humaneval,0.5182926829268293
24,math,gsm8k,0.5428354814253222
24,math,humaneval,0.4817073170731707
25,math,gsm8k,0.530705079605762
25,math,humaneval,0.4939024390243902
26,math,gsm8k,0.5678544351781653
26,math,humaneval,0.4878048780487805
27,math,gsm8k,0.5708870356330553
27,math,humaneval,0.4939024390243902
28,math,gsm8k,0.5890826383623957
28,math,humaneval,0.4878048780487805
29,math,gsm8k,0.5041698256254739
29,math,humaneval,0.4573170731707317
