window_size,base_type,start_layer,metric,accuracy
2,code,0,gsm8k,0.49052312357846856
2,code,1,gsm8k,0.47384382107657314
2,code,2,gsm8k,0.4715693707354056
2,code,3,gsm8k,0.48673237300985595
2,code,4,gsm8k,0.48218347232752085
2,code,5,gsm8k,0.4533737680060652
2,code,6,gsm8k,0.4579226686884003
2,code,7,gsm8k,0.42608036391205456
2,code,8,gsm8k,0.3843821076573162
2,code,9,gsm8k,0.36770280515542075
2,code,11,gsm8k,0.3479909021986353
2,code,12,gsm8k,0.3290371493555724
2,code,13,gsm8k,0.28658074298711145
2,code,14,gsm8k,0.34040940106141016
2,code,15,gsm8k,0.40333586050037906
2,code,16,gsm8k,0.4268385140257771
2,code,17,gsm8k,0.44275966641395
2,code,18,gsm8k,0.4351781652767248
2,code,19,gsm8k,0.43745261561789234
2,code,20,gsm8k,0.45564821834723274
2,code,21,gsm8k,0.4632297194844579
2,code,22,gsm8k,0.44579226686884005
2,code,23,gsm8k,0.45943896891584535
2,code,24,gsm8k,0.47081122062168307
2,code,25,gsm8k,0.4564063684609553
2,code,26,gsm8k,0.46171341925701287
2,code,27,gsm8k,0.45564821834723274
2,code,28,gsm8k,0.354814253222138
2,math,0,gsm8k,0.4116755117513268
2,math,1,gsm8k,0.5140257771038665
2,math,2,gsm8k,0.5360121304018196
2,math,3,gsm8k,0.5845337376800607
2,math,4,gsm8k,0.46474601971190294
2,math,5,gsm8k,0.38059135708870356
2,math,6,gsm8k,0.45943896891584535
2,math,7,gsm8k,0.5056861258529188
2,math,8,gsm8k,0.5284306292645944
2,math,9,gsm8k,0.48597422289613346
2,math,10,gsm8k,0.5140257771038665
2,math,11,gsm8k,0.4988627748294162
2,math,12,gsm8k,0.5579984836997726
2,math,13,gsm8k,0.5693707354056103
2,math,14,gsm8k,0.5034116755117514
2,math,15,gsm8k,0.5276724791508719
2,math,16,gsm8k,0.5360121304018196
2,math,17,gsm8k,0.49128127369219105
2,math,18,gsm8k,0.4874905231235785
2,math,19,gsm8k,0.5913570887035633
2,math,20,gsm8k,0.574677786201668
2,math,21,gsm8k,0.5579984836997726
2,math,22,gsm8k,0.6338134950720242
2,math,23,gsm8k,0.5845337376800607
2,math,24,gsm8k,0.514783927217589
2,math,25,gsm8k,0.5473843821076573
2,math,26,gsm8k,0.5913570887035633
2,math,27,gsm8k,0.601213040181956
2,math,28,gsm8k,0.48673237300985595
2,code,0,humaneval,0.676829268292683
2,code,1,humaneval,0.676829268292683
2,code,2,humaneval,0.5975609756097561
2,code,3,humaneval,0.6463414634146342
2,code,4,humaneval,0.7073170731707317
2,code,5,humaneval,0.6158536585365854
2,code,6,humaneval,0.6463414634146342
2,code,7,humaneval,0.6829268292682927
2,code,8,humaneval,0.6219512195121951
2,code,9,humaneval,0.6463414634146342
2,code,10,humaneval,0.6097560975609756
2,code,11,humaneval,0.6341463414634146
2,code,12,humaneval,0.6280487804878049
2,code,13,humaneval,0.5609756097560976
2,code,14,humaneval,0.6036585365853658
2,code,15,humaneval,0.6280487804878049
2,code,16,humaneval,0.5548780487804879
2,code,17,humaneval,0.5975609756097561
2,code,18,humaneval,0.6097560975609756
2,code,19,humaneval,0.6463414634146342
2,code,20,humaneval,0.5975609756097561
2,code,21,humaneval,0.6402439024390244
2,code,22,humaneval,0.6280487804878049
2,code,23,humaneval,0.6646341463414634
2,code,24,humaneval,0.6402439024390244
2,code,25,humaneval,0.6402439024390244
2,code,26,humaneval,0.6280487804878049
2,code,27,humaneval,0.6341463414634146
2,code,28,humaneval,0.6158536585365854
2,math,0,humaneval,0.5
2,math,1,humaneval,0.524390243902439
2,math,2,humaneval,0.5
2,math,3,humaneval,0.5121951219512195
2,math,4,humaneval,0.5365853658536586
2,math,5,humaneval,0.5182926829268293
2,math,6,humaneval,0.5060975609756098
2,math,7,humaneval,0.43902439024390244
2,math,8,humaneval,0.4634146341463415
2,math,9,humaneval,0.49390243902439024
2,math,10,humaneval,0.5
2,math,11,humaneval,0.4817073170731707
2,math,12,humaneval,0.45121951219512196
2,math,13,humaneval,0.47560975609756095
2,math,14,humaneval,0.4695121951219512
2,math,15,humaneval,0.5
2,math,16,humaneval,0.4878048780487805
2,math,17,humaneval,0.5
2,math,18,humaneval,0.5
2,math,19,humaneval,0.5
2,math,20,humaneval,0.4817073170731707
2,math,21,humaneval,0.4878048780487805
2,math,22,humaneval,0.5121951219512195
2,math,23,humaneval,0.5060975609756098
2,math,24,humaneval,0.4878048780487805
2,math,25,humaneval,0.5
2,math,26,humaneval,0.49390243902439024
2,math,27,humaneval,0.4878048780487805
2,math,28,humaneval,0.5182926829268293
3,code,0,gsm8k,0.47081122062168307
3,code,1,gsm8k,0.4791508718726308
3,code,2,gsm8k,0.46853677028051555
3,code,3,gsm8k,0.49128127369219105
3,code,4,gsm8k,0.47536012130401817
3,code,5,gsm8k,0.46626231993934797
3,code,6,gsm8k,0.43745261561789234
3,code,7,gsm8k,0.3639120545868082
3,code,8,gsm8k,0.378316906747536
3,code,9,gsm8k,0.3411675511751327
3,code,10,gsm8k,0.3593631539044731
3,code,11,gsm8k,0.31311599696739956
3,code,12,gsm8k,0.32297194844579225
3,code,13,gsm8k,0.2918877937831691
3,code,14,gsm8k,0.3661865049279757
3,code,15,gsm8k,0.4048521607278241
3,code,16,gsm8k,0.4275966641394996
3,code,17,gsm8k,0.42835481425322214
3,code,18,gsm8k,0.41698256254738436
3,code,19,gsm8k,0.43290371493555724
3,code,20,gsm8k,0.45261561789234267
3,code,21,gsm8k,0.44351781652767247
3,code,22,gsm8k,0.45109931766489764
3,code,23,gsm8k,0.45261561789234267
3,code,24,gsm8k,0.4844579226686884
3,code,25,gsm8k,0.4495830174374526
3,code,26,gsm8k,0.46853677028051555
3,code,27,gsm8k,0.3373768006065201
3,math,0,gsm8k,0.4579226686884003
3,math,1,gsm8k,0.5049279757391963
3,math,2,gsm8k,0.5504169825625473
3,math,3,gsm8k,0.4965883244882487
3,math,4,gsm8k,0.4025777103866566
3,math,5,gsm8k,0.4116755117513268
3,math,6,gsm8k,0.444275966641395
3,math,7,gsm8k,0.4973464746019712
3,math,8,gsm8k,0.4852160727824109
3,math,9,gsm8k,0.5299469294920395
3,math,10,gsm8k,0.4746019711902957
3,math,11,gsm8k,0.5216072782410918
3,math,12,gsm8k,0.5375284306292646
3,math,13,gsm8k,0.5276724791508719
3,math,14,gsm8k,0.5109931766489765
3,math,15,gsm8k,0.4844579226686884
3,math,16,gsm8k,0.49052312357846856
3,math,17,gsm8k,0.4336618650492798
3,math,18,gsm8k,0.5185746777862017
3,math,19,gsm8k,0.5526914329037149
3,math,20,gsm8k,0.5807429871114481
3,math,21,gsm8k,0.576194086429113
3,math,22,gsm8k,0.6148597422289613
3,math,23,gsm8k,0.55420773313116
3,math,24,gsm8k,0.5216072782410918
3,math,25,gsm8k,0.5663381349507203
3,math,26,gsm8k,0.5860500379075056
3,math,27,gsm8k,0.49583017437452614
3,code,0,humaneval,0.6646341463414634
3,code,1,humaneval,0.6524390243902439
3,code,2,humaneval,0.6524390243902439
3,code,3,humaneval,0.676829268292683
3,code,4,humaneval,0.6036585365853658
3,code,5,humaneval,0.6158536585365854
3,code,6,humaneval,0.6585365853658537
3,code,7,humaneval,0.6280487804878049
3,code,8,humaneval,0.5853658536585366
3,code,9,humaneval,0.6158536585365854
3,code,10,humaneval,0.5914634146341463
3,code,11,humaneval,0.573170731707317
3,code,12,humaneval,0.5609756097560976
3,code,13,humaneval,0.573170731707317
3,code,14,humaneval,0.6036585365853658
3,code,15,humaneval,0.5548780487804879
3,code,16,humaneval,0.5487804878048781
3,code,17,humaneval,0.5487804878048781
3,code,18,humaneval,0.6158536585365854
3,code,19,humaneval,0.5853658536585366
3,code,20,humaneval,0.6036585365853658
3,code,21,humaneval,0.6219512195121951
3,code,22,humaneval,0.6341463414634146
3,code,23,humaneval,0.6280487804878049
3,code,24,humaneval,0.6402439024390244
3,code,25,humaneval,0.6097560975609756
3,code,26,humaneval,0.6219512195121951
3,code,27,humaneval,0.6585365853658537
3,math,0,humaneval,0.49390243902439024
3,math,1,humaneval,0.5365853658536586
