window_size,base_type,start_layer,metric,accuracy
1,rust,0,rust,0.6217948717948718
1,rust,1,rust,0.6730769230769231
1,rust,10,rust,0.6923076923076923
1,rust,11,rust,0.6730769230769231
1,rust,12,rust,0.7243589743589743
1,rust,13,rust,0.7115384615384616
1,rust,14,rust,0.6666666666666666
1,rust,15,rust,0.6474358974358975
1,rust,16,rust,0.7243589743589743
1,rust,17,rust,0.717948717948718
1,rust,18,rust,0.7307692307692307
1,rust,19,rust,0.7628205128205128
1,rust,2,rust,0.7435897435897436
1,rust,20,rust,0.717948717948718
1,rust,21,rust,0.7243589743589743
1,rust,22,rust,0.7307692307692307
1,rust,23,rust,0.7115384615384616
1,rust,24,rust,0.7628205128205128
1,rust,25,rust,0.7243589743589743
1,rust,26,rust,0.717948717948718
1,rust,27,rust,0.7307692307692307
1,rust,28,rust,0.8012820512820513
1,rust,29,rust,0.7564102564102564
1,rust,3,rust,0.7564102564102564
1,rust,30,rust,0.7628205128205128
1,rust,31,rust,0.7051282051282052
1,rust,4,rust,0.7628205128205128
1,rust,5,rust,0.75
1,rust,6,rust,0.7564102564102564
1,rust,7,rust,0.7243589743589743
1,rust,8,rust,0.717948717948718
1,rust,9,rust,0.7115384615384616
2,rust,0,rust,0.6987179487179487
2,rust,10,rust,0.7051282051282052
2,rust,11,rust,0.7307692307692307
2,rust,12,rust,0.75
2,rust,1,rust,0.7435897435897436
2,rust,13,rust,0.75
2,rust,14,rust,0.7435897435897436
2,rust,15,rust,0.75
2,rust,16,rust,0.717948717948718
2,rust,17,rust,0.7243589743589743
2,rust,18,rust,0.7756410256410257
2,rust,19,rust,0.7307692307692307
2,rust,20,rust,0.7243589743589743
2,rust,21,rust,0.717948717948718
2,rust,22,rust,0.7115384615384616
2,rust,23,rust,0.7243589743589743
2,rust,2,rust,0.7435897435897436
2,rust,24,rust,0.7115384615384616
2,rust,25,rust,0.717948717948718
2,rust,26,rust,0.717948717948718
2,rust,27,rust,0.7435897435897436
2,rust,28,rust,0.7051282051282052
2,rust,29,rust,0.7307692307692307
2,rust,30,rust,0.7115384615384616
2,rust,3,rust,0.7628205128205128
2,rust,4,rust,0.7307692307692307
2,rust,5,rust,0.7371794871794872
2,rust,6,rust,0.7435897435897436
2,rust,7,rust,0.7115384615384616
2,rust,8,rust,0.7564102564102564
2,rust,9,rust,0.75
3,rust,0,rust,0.7435897435897436
3,rust,10,rust,0.7628205128205128
3,rust,11,rust,0.7435897435897436
3,rust,12,rust,0.75
3,rust,13,rust,0.7564102564102564
3,rust,1,rust,0.7307692307692307
3,rust,14,rust,0.717948717948718
3,rust,15,rust,0.717948717948718
3,rust,16,rust,0.717948717948718
3,rust,17,rust,0.7307692307692307
3,rust,18,rust,0.7243589743589743
3,rust,19,rust,0.7307692307692307
3,rust,20,rust,0.75
3,rust,21,rust,0.717948717948718
3,rust,22,rust,0.7435897435897436
3,rust,23,rust,0.7628205128205128
3,rust,24,rust,0.717948717948718
3,rust,2,rust,0.6923076923076923
3,rust,25,rust,0.7628205128205128
3,rust,26,rust,0.7564102564102564
3,rust,27,rust,0.7307692307692307
3,rust,28,rust,0.75
3,rust,29,rust,0.6923076923076923
3,rust,3,rust,0.75
3,rust,4,rust,0.7371794871794872
3,rust,5,rust,0.7564102564102564
3,rust,6,rust,0.75
3,rust,7,rust,0.7564102564102564
3,rust,8,rust,0.7371794871794872
3,rust,9,rust,0.75
4,rust,0,rust,0.75
4,rust,10,rust,0.7564102564102564
4,rust,11,rust,0.7435897435897436
4,rust,12,rust,0.7435897435897436
4,rust,13,rust,0.7051282051282052
4,rust,14,rust,0.7692307692307693
4,rust,1,rust,0.7307692307692307
4,rust,15,rust,0.7051282051282052
4,rust,16,rust,0.717948717948718
4,rust,17,rust,0.7564102564102564
4,rust,18,rust,0.7371794871794872
4,rust,19,rust,0.717948717948718
4,rust,20,rust,0.7307692307692307
4,rust,21,rust,0.7243589743589743
4,rust,22,rust,0.7371794871794872
4,rust,23,rust,0.7307692307692307
4,rust,24,rust,0.7435897435897436
4,rust,25,rust,0.717948717948718
4,rust,2,rust,0.6538461538461539
4,rust,26,rust,0.7051282051282052
4,rust,27,rust,0.7051282051282052
4,rust,28,rust,0.7051282051282052
4,rust,3,rust,0.7371794871794872
4,rust,4,rust,0.7115384615384616
4,rust,5,rust,0.7435897435897436
4,rust,6,rust,0.7371794871794872
4,rust,7,rust,0.7692307692307693
4,rust,8,rust,0.7564102564102564
4,rust,9,rust,0.75
5,rust,0,rust,0.7371794871794872
5,rust,10,rust,0.75
5,rust,11,rust,0.7628205128205128
5,rust,12,rust,0.7564102564102564
5,rust,13,rust,0.7564102564102564
5,rust,14,rust,0.7115384615384616
5,rust,15,rust,0.7243589743589743
5,rust,1,rust,0.7307692307692307
5,rust,16,rust,0.7307692307692307
5,rust,17,rust,0.7628205128205128
5,rust,18,rust,0.7628205128205128
5,rust,19,rust,0.7628205128205128
5,rust,20,rust,0.75
5,rust,21,rust,0.7628205128205128
5,rust,22,rust,0.7435897435897436
5,rust,23,rust,0.7243589743589743
5,rust,24,rust,0.75
5,rust,25,rust,0.7564102564102564
5,rust,26,rust,0.75
5,rust,2,rust,0.7435897435897436
5,rust,27,rust,0.7435897435897436
5,rust,3,rust,0.7564102564102564
5,rust,4,rust,0.75
5,rust,5,rust,0.7756410256410257
5,rust,6,rust,0.7628205128205128
5,rust,7,rust,0.7115384615384616
5,rust,8,rust,0.7435897435897436
5,rust,9,rust,0.7628205128205128
1,go,0,go,0.448051948051948
1,go,1,go,0.448051948051948
1,go,10,go,0.4545454545454545
1,go,11,go,0.4415584415584415
1,go,12,go,0.4415584415584415
1,go,13,go,0.4415584415584415
1,go,14,go,0.4415584415584415
1,go,15,go,0.4415584415584415
1,go,16,go,0.422077922077922
1,go,17,go,0.4285714285714285
1,go,18,go,0.435064935064935
1,go,19,go,0.435064935064935
1,go,2,go,0.422077922077922
1,go,20,go,0.4415584415584415
1,go,21,go,0.4415584415584415
1,go,22,go,0.4415584415584415
1,go,23,go,0.4415584415584415
1,go,24,go,0.4415584415584415
1,go,25,go,0.448051948051948
1,go,26,go,0.4415584415584415
1,go,27,go,0.435064935064935
1,go,28,go,0.4415584415584415
1,go,29,go,0.435064935064935
1,go,3,go,0.4545454545454545
1,go,30,go,0.4285714285714285
1,go,31,go,0.4285714285714285
1,go,4,go,0.4545454545454545
1,go,5,go,0.448051948051948
1,go,6,go,0.4285714285714285
1,go,7,go,0.448051948051948
1,go,8,go,0.4545454545454545
1,go,9,go,0.4415584415584415
2,go,0,go,0.448051948051948
2,go,10,go,0.448051948051948
2,go,11,go,0.4155844155844156
2,go,12,go,0.422077922077922
2,go,1,go,0.435064935064935
2,go,13,go,0.4155844155844156
2,go,14,go,0.422077922077922
2,go,15,go,0.435064935064935
2,go,16,go,0.448051948051948
2,go,17,go,0.4415584415584415
2,go,18,go,0.4415584415584415
2,go,19,go,0.4285714285714285
2,go,20,go,0.435064935064935
